direction,layer,src_attribution
Kan→Hin,26,0.04885
Kan→Hin,27,0.07351
Kan→Hin,28,0.03398
Kan→Hin,29,0.07583
Kan→Hin,30,0.07456
Kan→Hin,31,0.02077
Kan→Hin,32,0.01685
Kan→Hin,33,0.02191
Kan→Hin,34,0.0285
Kan→Hin,35,0.02712
Kan→Hin,36,0.03575
